,3_text.txt
a,-0.004334700896232554
aa,-0.0009724436552703638
aaa,-1.8649604347650815e-05
aaaa,-1.0656916770086179e-05
aaaaa,-2.6642291925215447e-06
aaaaaaa,-2.6642291925215447e-06
aaaaaaaaahhh,-2.6642291925215447e-06
aaaaaand,-2.6642291925215447e-06
aaaaayyyyiiii,-2.6642291925215447e-06
aaaachhiii,-2.6642291925215447e-06
aaaah,-5.3284583850430894e-06
aaaaiiiiiiiii,-2.6642291925215447e-06
aaag,-2.6642291925215447e-06
aaah,-7.992687577564635e-06
aaahh,-5.3284583850430894e-06
aaahuhuhu,-2.6642291925215447e-06
aaai,-2.6642291925215447e-06
aaaiiiieeee,-2.6642291925215447e-06
aaaiiiyyyeeee,-2.6642291925215447e-06
aaaj,-1.0656916770086179e-05
aaajao,-2.6642291925215447e-06
aaan,-2.6642291925215447e-06
aaao,-2.6642291925215447e-06
aaap,-7.992687577564635e-06
aaapka,-2.6642291925215447e-06
aaapko,-2.6642291925215447e-06
aaapp,-2.6642291925215447e-06
aaapse,-2.6642291925215447e-06
aaaptards,-2.6642291925215447e-06
aaara,-2.6642291925215447e-06
aaasaya,-2.6642291925215447e-06
aaashirwad,-2.6642291925215447e-06
aaatankbadi,-2.6642291925215447e-06
aaate,-5.3284583850430894e-06
aab,-3.729920869530163e-05
aabadi,-5.3284583850430894e-06
aabay,-2.6642291925215447e-06
aabhe,-2.6642291925215447e-06
aabhi,-5.3284583850430894e-06
aabki,-2.6642291925215447e-06
aabmi,-2.6642291925215447e-06
aacha,-1.8649604347650815e-05
aache,-1.0656916770086179e-05
aachha,-2.6642291925215447e-06
aachi,-7.992687577564635e-06
aad,-7.992687577564635e-06
aadab,-2.6642291925215447e-06
aadami,-1.598537515512927e-05
aadani,-2.6642291925215447e-06
aadarniy,-2.6642291925215447e-06
aadarshstate,-2.6642291925215447e-06
aadarshwaad,-2.6642291925215447e-06
aadat,-2.3978062732693904e-05
aadatein,-2.6642291925215447e-06
aadaten,-2.6642291925215447e-06
aade,-2.6642291925215447e-06
aadha,-2.6642291925215447e-06
aadhar,-2.6642291925215447e-06
aadharsh,-2.6642291925215447e-06
aadhe,-7.992687577564635e-06
aadhi,-1.0656916770086179e-05
aadhikr,-2.6642291925215447e-06
aadhri,-2.6642291925215447e-06
aadiwasi,-2.6642291925215447e-06
aadmi,-0.00015186106397372805
aae,-1.3321145962607725e-05
aaeam,-2.6642291925215447e-06
aaega,-1.598537515512927e-05
aaege,-2.6642291925215447e-06
aaegi,-7.992687577564635e-06
aaein,-2.6642291925215447e-06
aaenge,-5.3284583850430894e-06
aaey,-2.6642291925215447e-06
aafat,-2.6642291925215447e-06
aag,-2.664229192521545e-05
aagaaz,-2.6642291925215447e-06
aagai,-2.6642291925215447e-06
aagar,-5.3284583850430894e-06
aagaya,-2.1313833540172358e-05
aagaye,-1.0656916770086179e-05
aagayi,-2.6642291925215447e-06
aage,-0.00012788300124103415
aagey,-5.3284583850430894e-06
aagle,-2.6642291925215447e-06
aagman,-2.6642291925215447e-06
aagrahi,-2.6642291925215447e-06
aagya,-1.598537515512927e-05
aagye,-5.3284583850430894e-06
aagyii,-2.6642291925215447e-06
aah,-1.3321145962607725e-05
aaha,-2.6642291925215447e-06
aahe,-2.6642291925215447e-06
aahee,-2.6642291925215447e-06
aahhoooommmm,-2.6642291925215447e-06
aahoo,-1.0656916770086179e-05
aai,-2.1313833540172358e-05
aaiieytoh,-2.6642291925215447e-06
aailaaaa,-2.6642291925215447e-06
aainda,-2.6642291925215447e-06
aaisha,-2.6642291925215447e-06
aaiye,-2.6642291925215447e-06
aaiyena,-2.6642291925215447e-06
aaiyne,-2.6642291925215447e-06
aaiyo,-2.6642291925215447e-06
aaiyu,-1.0656916770086179e-05
aaj,-0.0008445606540293298
aaja,-3.996343788782317e-05
aajaao,-2.6642291925215447e-06
aajaatah,-2.6642291925215447e-06
aajadi,-1.0656916770086179e-05
aajaiga,-2.6642291925215447e-06
aajam,-2.6642291925215447e-06
aajao,-2.3978062732693904e-05
aajaunga,-2.6642291925215447e-06
aajaye,-2.6642291925215447e-06
aajayenge,-2.6642291925215447e-06
aajjjaa,-2.6642291925215447e-06
aajkal,-5.594881304295244e-05
aajkiparty,-2.6642291925215447e-06
aajkl,-5.3284583850430894e-06
aajo,-1.0656916770086179e-05
aajoa,-2.6642291925215447e-06
aajtak,-5.3284583850430894e-06
aakar,-1.8649604347650815e-05
aake,-1.8649604347650815e-05
aakh,-2.6642291925215447e-06
aakhen,-2.6642291925215447e-06
aakher,-2.6642291925215447e-06
aakhir,-2.3978062732693904e-05
aakhiri,-5.3284583850430894e-06
aakhirkaar,-2.6642291925215447e-06
aakho,-2.6642291925215447e-06
aakhon,-2.6642291925215447e-06
aakhri,-7.992687577564635e-06
aaki,-2.6642291925215447e-06
aako,-2.6642291925215447e-06
aakr,-2.6642291925215447e-06
aal,-2.6642291925215447e-06
aalag,-2.6642291925215447e-06
aalam,-2.6642291925215447e-06
aalasis,-2.6642291925215447e-06
aalay,-2.6642291925215447e-06
aale,-2.6642291925215447e-06
aali,-2.6642291925215447e-06
aallaahh,-2.6642291925215447e-06
aallah,-2.6642291925215447e-06
aaloo,-2.6642291925215447e-06
aalsi,-2.6642291925215447e-06
aalu,-2.6642291925215447e-06
aam,-0.0001438683763961634
aamaadmikisarkaar,-2.6642291925215447e-06
aamaadmikisarkar,-2.6642291925215447e-06
aamaadmiparty,-5.3284583850430894e-06
aamaal,-2.6642291925215447e-06
aameen,-5.3284583850430894e-06
aamir,-2.9306521117736996e-05
aamirkhan,-5.3284583850430894e-06
aamirr,-2.6642291925215447e-06
aammaa,-2.6642291925215447e-06
aan,-2.1313833540172358e-05
aana,-0.0001065691677008618
aanahai,-2.6642291925215447e-06
aanahi,-2.6642291925215447e-06
aanaji,-2.6642291925215447e-06
aanand,-2.6642291925215447e-06
aandhi,-2.6642291925215447e-06
aandolan,-1.3321145962607725e-05
aane,-0.00016251798074381422
aanewala,-5.3284583850430894e-06
aaney,-2.6642291925215447e-06
aangan,-2.6642291925215447e-06
aani,-1.0656916770086179e-05
aankh,-1.3321145962607725e-05
aankhe,-1.3321145962607725e-05
aankhein,-5.3284583850430894e-06
aankhen,-7.992687577564635e-06
aankhirat,-2.6642291925215447e-06
aankho,-2.1313833540172358e-05
aankhon,-1.0656916770086179e-05
aankon,-2.6642291925215447e-06
aanna,-1.0656916770086179e-05
aanne,-2.6642291925215447e-06
